Ticker,Entry Time,Exit Time,Side,Entry Price,Exit Price,PNL,Exit Reason
BAJAJ-AUTO,2025-08-18 09:25:00,2025-08-18 10:54:00,LONG,8579.5,8533.0,-511.5,Stop Loss
BAJAJ-AUTO,2025-08-18 10:55:00,2025-08-18 11:59:00,LONG,8541.5,8497.5,-484.0,Stop Loss
BAJAJ-AUTO,2025-08-18 13:25:00,2025-08-18 15:29:00,LONG,8580.0,8592.0,132.0,End of Day
HDFCBANK,2025-08-18 09:25:00,2025-08-18 10:55:00,LONG,2018.9,2008.7,-499.8,Stop Loss
HDFCBANK,2025-08-18 14:35:00,2025-08-18 15:29:00,LONG,2005.2,2005.0,-9.8,End of Day
RELIANCE,2025-08-19 09:25:00,2025-08-19 15:29:00,LONG,1409.1,1421.0,833.0,End of Day
BHARTIARTL,2025-08-19 09:25:00,2025-08-19 09:54:00,LONG,1931.1,1920.9,-520.2,Stop Loss
BHARTIARTL,2025-08-19 09:55:00,2025-08-19 13:21:00,LONG,1921.0,1911.0,-520.0,Stop Loss
OLAELEC,2025-08-19 09:25:00,2025-08-19 09:34:00,LONG,43.4,44.32,2119.68,Target Hit
OLAELEC,2025-08-19 09:35:00,2025-08-19 09:36:00,LONG,44.4,43.88,-1171.04,Stop Loss
OLAELEC,2025-08-19 09:37:00,2025-08-19 09:37:00,LONG,44.08,43.73,-793.8,Stop Loss
OLAELEC,2025-08-19 09:38:00,2025-08-19 09:39:00,LONG,43.87,43.65,-501.38,Stop Loss
OLAELEC,2025-08-19 09:40:00,2025-08-19 09:40:00,LONG,43.63,43.4,-527.16,Stop Loss
OLAELEC,2025-08-19 09:41:00,2025-08-19 09:44:00,LONG,43.89,43.57,-728.96,Stop Loss
OLAELEC,2025-08-19 09:45:00,2025-08-19 09:46:00,LONG,43.81,43.48,-753.06,Stop Loss
OLAELEC,2025-08-19 09:47:00,2025-08-19 10:06:00,LONG,43.52,43.13,-895.83,Stop Loss
OLAELEC,2025-08-19 10:07:00,2025-08-19 10:23:00,LONG,43.32,44.2,2031.04,Target Hit
OLAELEC,2025-08-19 10:24:00,2025-08-19 11:31:00,LONG,44.24,43.82,-949.2,Stop Loss
OLAELEC,2025-08-19 11:32:00,2025-08-19 11:38:00,LONG,43.86,43.55,-706.49,Stop Loss
OLAELEC,2025-08-19 11:39:00,2025-08-19 11:55:00,LONG,43.7,43.44,-594.88,Stop Loss
OLAELEC,2025-08-19 13:05:00,2025-08-19 13:06:00,LONG,45.28,44.93,-772.8,Stop Loss
OLAELEC,2025-08-19 13:07:00,2025-08-19 13:39:00,LONG,45.09,44.84,-554.25,Stop Loss
OLAELEC,2025-08-19 13:55:00,2025-08-19 14:58:00,LONG,44.84,44.61,-512.9,Stop Loss
VEDL,2025-08-19 09:25:00,2025-08-19 15:29:00,LONG,446.5,449.95,769.35,End of Day
HDFCBANK,2025-08-19 12:25:00,2025-08-19 13:41:00,LONG,2003.2,1992.5,-524.3,Stop Loss
WAAREEENER,2025-08-19 09:25:00,2025-08-19 14:08:00,LONG,3052.0,3035.4,-531.2,Stop Loss
MARUTI,2025-08-19 10:05:00,2025-08-19 10:19:00,LONG,14172.0,14101.0,-497.0,Stop Loss
MARUTI,2025-08-19 10:20:00,2025-08-19 15:29:00,LONG,14124.0,14235.0,777.0,End of Day
ICICIBANK,2025-08-19 09:25:00,2025-08-19 09:55:00,LONG,1438.5,1431.2,-503.7,Stop Loss
ICICIBANK,2025-08-19 12:05:00,2025-08-19 15:29:00,LONG,1435.2,1436.0,55.2,End of Day
M&M,2025-08-19 11:35:00,2025-08-19 13:40:00,LONG,3383.1,3363.8,-559.7,Stop Loss
OLAELEC,2025-08-20 09:25:00,2025-08-20 09:28:00,LONG,48.0,47.49,-1062.33,Stop Loss
OLAELEC,2025-08-20 09:29:00,2025-08-20 09:43:00,LONG,47.5,48.56,2231.3,Target Hit
OLAELEC,2025-08-20 09:44:00,2025-08-20 09:48:00,LONG,48.55,48.3,-514.75,Stop Loss
OLAELEC,2025-08-20 09:49:00,2025-08-20 10:07:00,LONG,48.42,49.7,2643.2,Target Hit
OLAELEC,2025-08-20 10:08:00,2025-08-20 10:13:00,LONG,49.75,51.15,2814.0,Target Hit
OLAELEC,2025-08-20 10:14:00,2025-08-20 10:14:00,LONG,51.12,50.75,-723.72,Stop Loss
OLAELEC,2025-08-20 10:15:00,2025-08-20 10:15:00,LONG,50.88,50.55,-648.45,Stop Loss
OLAELEC,2025-08-20 10:16:00,2025-08-20 10:17:00,LONG,51.24,50.92,-624.32,Stop Loss
OLAELEC,2025-08-20 10:18:00,2025-08-20 10:19:00,LONG,51.08,50.8,-547.96,Stop Loss
OLAELEC,2025-08-20 10:20:00,2025-08-20 10:21:00,LONG,50.87,50.45,-825.3,Stop Loss
OLAELEC,2025-08-20 10:22:00,2025-08-20 10:24:00,LONG,50.75,50.48,-531.9,Stop Loss
OLAELEC,2025-08-20 10:25:00,2025-08-20 10:29:00,LONG,50.45,49.97,-951.36,Stop Loss
OLAELEC,2025-08-20 10:30:00,2025-08-20 11:36:00,LONG,50.15,51.3,2293.1,Target Hit
OLAELEC,2025-08-20 11:37:00,2025-08-20 11:45:00,LONG,51.3,51.04,-506.74,Stop Loss
OLAELEC,2025-08-20 11:46:00,2025-08-20 13:24:00,LONG,51.14,50.75,-762.45,Stop Loss
OLAELEC,2025-08-20 15:05:00,2025-08-20 15:06:00,LONG,53.43,53.02,-767.11,Stop Loss
OLAELEC,2025-08-20 15:07:00,2025-08-20 15:29:00,LONG,53.09,53.04,-94.15,End of Day
BHARTIARTL,2025-08-20 09:25:00,2025-08-20 12:15:00,LONG,1938.1,1928.1,-510.0,Stop Loss
BHARTIARTL,2025-08-20 14:35:00,2025-08-20 15:29:00,LONG,1934.0,1930.0,-204.0,End of Day
HAL,2025-08-20 09:25:00,2025-08-20 10:41:00,LONG,4538.0,4515.0,-506.0,Stop Loss
HAL,2025-08-20 10:42:00,2025-08-20 12:05:00,LONG,4515.5,4490.0,-561.0,Stop Loss
ETERNAL,2025-08-20 09:25:00,2025-08-20 09:29:00,LONG,327.5,325.85,-503.25,Stop Loss
ETERNAL,2025-08-20 09:30:00,2025-08-20 09:31:00,LONG,326.0,324.35,-504.9,Stop Loss
ETERNAL,2025-08-20 09:32:00,2025-08-20 12:27:00,LONG,325.25,328.4,967.05,Trailing Stop
ETERNAL,2025-08-20 12:28:00,2025-08-20 13:00:00,LONG,328.5,326.55,-592.8,Stop Loss
M&M,2025-08-20 10:15:00,2025-08-20 15:29:00,LONG,3376.0,3392.0,464.0,End of Day
DABUR,2025-08-20 09:25:00,2025-08-20 14:23:00,LONG,523.8,534.7,2071.0,Target Hit
DABUR,2025-08-20 14:24:00,2025-08-20 15:29:00,LONG,534.9,533.95,-176.7,End of Day
HCLTECH,2025-08-20 11:43:00,2025-08-20 15:29:00,LONG,1481.5,1496.0,971.5,End of Day
